Category,Item,Measure,price,Image Link
n.v.t.,Koksmes,25 cm,"€ 24,19",http://www.manhard.eu/upload/webshop/default_020423017.jpg?uid=0.6675074
n.v.t.,Santokumes,17 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423016.jpg?uid=0.4834864
n.v.t.,Santokumes,17 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423016.jpg?uid=0.4834864
n.v.t.,Vleesmes,20 cm,"€ 16,4",http://www.manhard.eu/upload/webshop/default_020423018.jpg?uid=0.7833521
n.v.t.,Vleesmes,25 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423018.jpg?uid=0.7833521
n.v.t.,Vleesmes,20 cm,"€ 16,4",http://www.manhard.eu/upload/webshop/default_020423018.jpg?uid=0.7833521
n.v.t.,Vleesmes,25 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423018.jpg?uid=0.7833521
Zwart,Steakvork,19 cm,"€ 3,35",http://www.manhard.eu/upload/webshop/default_020431042.jpg?uid=0.7503321
Zwart,Steakmes,13 cm,"€ 2,66",http://www.manhard.eu/upload/webshop/default_020428039.jpg?uid=0.1476709
Zwart,Officemes,9 cm,"€ 4,3",http://www.manhard.eu/upload/webshop/default_020426021.jpg?uid=0.1359522
Zwart,Schilmes,8 cm,"€ 1,73",http://www.manhard.eu/upload/webshop/default_020428025.jpg?uid=0.784939
Zwart,Schilmes,9 cm,"€ 1,89",http://www.manhard.eu/upload/webshop/default_020428025.jpg?uid=0.784939
Zwart,Schilmes,6 cm,"€ 1,66",http://www.manhard.eu/upload/webshop/default_020428025.jpg?uid=0.784939
Zwart,Officemes,8 cm,"€ 1,88",http://www.manhard.eu/upload/webshop/default_020431021.jpg?uid=4.592532E-02
Zwart,Tomaten-/kaasmes,13 cm,"€ 16,81",http://www.manhard.eu/upload/webshop/default_020420024.jpg?uid=0.3662989
Zwart,Schilmes,7 cm,"€ 13,75",http://www.manhard.eu/upload/webshop/default_020420025.jpg?uid=0.3780176
Zwart,Officemes,9 cm,"€ 13,75",http://www.manhard.eu/upload/webshop/default_020420021.jpg?uid=0.3274195
Zwart,Officemes,12 cm,"€ 14,45",http://www.manhard.eu/upload/webshop/default_020420021.jpg?uid=0.3274195
Zwart,Broodmes,21 cm,"€ 26,59",http://www.manhard.eu/upload/webshop/default_020420020.jpg?uid=0.9652368
Zwart,Vleesmes,16 cm,"€ 19,78",http://www.manhard.eu/upload/webshop/default_020420018.jpg?uid=0.3537866
Zwart,Vleesmes,18 cm,"€ 23,17",http://www.manhard.eu/upload/webshop/default_020420018.jpg?uid=0.3537866
Zwart,Vleesmes,21 cm,"€ 24,93",http://www.manhard.eu/upload/webshop/default_020420018.jpg?uid=0.3537866
Zwart,Vleesmes,23 cm,"€ 26,77",http://www.manhard.eu/upload/webshop/default_020420018.jpg?uid=0.3537866
Zwart,Vleesmes,26 cm,"€ 28,85",http://www.manhard.eu/upload/webshop/default_020420018.jpg?uid=0.3537866
n.v.t.,Hammes,24 cm,"€ 16,96",http://www.manhard.eu/upload/webshop/default_020423033.jpg?uid=0.7681543
n.v.t.,Hammes,30 cm,"€ 18,65",http://www.manhard.eu/upload/webshop/default_020423033.jpg?uid=0.7681543
n.v.t.,Hammes,24 cm,"€ 16,96",http://www.manhard.eu/upload/webshop/default_020423033.jpg?uid=0.7681543
n.v.t.,Hammes,30 cm,"€ 18,65",http://www.manhard.eu/upload/webshop/default_020423033.jpg?uid=0.7681543
n.v.t.,Officemes,10 cm,"€ 12,04",http://www.manhard.eu/upload/webshop/default_020423021.jpg?uid=0.5335352
n.v.t.,Officemes,10 cm,"€ 12,04",http://www.manhard.eu/upload/webshop/default_020423021.jpg?uid=0.5335352
Zwart,Santokumes,18 cm,"€ 33,59",http://www.manhard.eu/upload/webshop/default_020420016.jpg?uid=5.703151E-03
Zwart,Officemes,10 cm,"€ 2,14",http://www.manhard.eu/upload/webshop/default_020428021.jpg?uid=0.7322046
Zwart,Fileermes,18 cm,"€ 23,4",http://www.manhard.eu/upload/webshop/default_020420023.jpg?uid=0.114895
Zwart,Trancheermes,19 cm,"€ 24,93",http://www.manhard.eu/upload/webshop/default_020420015.jpg?uid=0.5122339
Zwart,Uitbeenmes,13 cm,"€ 19,3",http://www.manhard.eu/upload/webshop/default_020420019.jpg?uid=0.4381983
Zwart,Uitbeenmes,16 cm,"€ 21,44",http://www.manhard.eu/upload/webshop/default_020420019.jpg?uid=0.4381983
Zwart,Steakvork,19 cm,"€ 6,84",http://www.manhard.eu/upload/webshop/default_020425042.jpg?uid=0.2746851
n.v.t.,Messenblok,n.v.t.,€ 114,http://www.manhard.eu/upload/webshop/default_020425048.jpg?uid=0.4757349
n.v.t.,Messenblok,11 x 11 cm,"€ 135,16",http://www.manhard.eu/upload/webshop/default_020425048.jpg?uid=0.4757349
n.v.t.,Messenblok,n.v.t.,"€ 68,28",http://www.manhard.eu/upload/webshop/default_020425048.jpg?uid=0.4757349
n.v.t.,Messenblok,n.v.t.,"€ 136,59",http://www.manhard.eu/upload/webshop/default_020425048.jpg?uid=0.4757349
Zwart,Keukenmes,10 cm,"€ 2,23",http://www.manhard.eu/upload/webshop/default_020428038.jpg?uid=0.3598902
Zwart,Keukenmes,10 cm,"€ 2,41",http://www.manhard.eu/upload/webshop/default_020428038.jpg?uid=0.3598902
Zwart,Glaceermessen,26 cm,€ 11,http://www.manhard.eu/upload/webshop/default_020425041.jpg?uid=0.3716089
Zwart,Broodmes,20 cm,"€ 5,81",http://www.manhard.eu/upload/webshop/default_020432020.jpg?uid=0.7601587
Zwart,Broodmes,25 cm,"€ 10,64",http://www.manhard.eu/upload/webshop/default_020432020.jpg?uid=0.7601587
Zwart,Schilmes,6 cm,"€ 5,72",http://www.manhard.eu/upload/webshop/default_020425025.jpg?uid=0.5343286
Zwart,Zalmmes,25 cm,"€ 21,03",http://www.manhard.eu/upload/webshop/default_020425027.jpg?uid=0.2792017
Zwart,Zalmmes,30 cm,"€ 22,86",http://www.manhard.eu/upload/webshop/default_020425027.jpg?uid=0.2792017
Zwart,Hammes,24 cm,"€ 11,97",http://www.manhard.eu/upload/webshop/default_020425033.jpg?uid=0.7095606
Zwart,Hammes,30 cm,"€ 14,11",http://www.manhard.eu/upload/webshop/default_020425033.jpg?uid=0.7095606
Zwart,Steakmes,12 cm,"€ 6,55",http://www.manhard.eu/upload/webshop/default_020425039.jpg?uid=5.337161E-02
Zwart,Vleesvork,18 cm,"€ 9,9",http://www.manhard.eu/upload/webshop/default_020425022.jpg?uid=0.2286035
Zwart,Vleesvork,20 cm,"€ 10,1",http://www.manhard.eu/upload/webshop/default_020425022.jpg?uid=0.2286035
Zwart,Trancheerset,n.v.t.,"€ 25,52",http://www.manhard.eu/upload/webshop/default_020425049.jpg?uid=0.0139429
Zwart,Officemes,10 cm,"€ 6,05",http://www.manhard.eu/upload/webshop/default_020425021.jpg?uid=0.9399073
Zwart,Officemes,10 cm,"€ 6,41",http://www.manhard.eu/upload/webshop/default_020425021.jpg?uid=0.9399073
Zwart,Vleesmes,17 cm,€ 11,http://www.manhard.eu/upload/webshop/default_020425018.jpg?uid=0.9098169
Zwart,Vleesmes,20 cm,"€ 12,8",http://www.manhard.eu/upload/webshop/default_020425018.jpg?uid=0.9098169
Zwart,Vleesmes,25 cm,"€ 14,45",http://www.manhard.eu/upload/webshop/default_020425018.jpg?uid=0.9098169
Zwart,Broodmes,20 cm,"€ 11,39",http://www.manhard.eu/upload/webshop/default_020425020.jpg?uid=0.3401758
Zwart,Kaasmes,12 cm,"€ 14,49",http://www.manhard.eu/upload/webshop/default_020425035.jpg?uid=0.1084864
Zwart,Uitbeenmes,15 cm,"€ 9,2",http://www.manhard.eu/upload/webshop/default_020425019.jpg?uid=0.2448389
Zwart,Uitbeenmes,15 cm,"€ 9,2",http://www.manhard.eu/upload/webshop/default_020425019.jpg?uid=0.2448389
Zwart,Koksmes,13 cm,"€ 10,1",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Koksmes,15 cm,"€ 12,51",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Koksmes,18 cm,"€ 13,73",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Koksmes,20 cm,"€ 16,43",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Koksmes,25 cm,"€ 18,38",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Koksmes,30 cm,"€ 22,27",http://www.manhard.eu/upload/webshop/default_020425017.jpg?uid=0.8826563
Zwart,Trancheermes,19 cm,"€ 11,86",http://www.manhard.eu/upload/webshop/default_020425015.jpg?uid=0.7986872
Zwart,Santokumes,18 cm,"€ 14,6",http://www.manhard.eu/upload/webshop/default_020425016.jpg?uid=0.333523
Zwart,Santokumes,18 cm,"€ 16,81",http://www.manhard.eu/upload/webshop/default_020425016.jpg?uid=0.333523
n.v.t.,Groentemes,15 cm,"€ 19,67",http://www.manhard.eu/upload/webshop/default_020421031.jpg?uid=0.3859064
Zwart,Snijmes,30 cm,"€ 16,79",http://www.manhard.eu/upload/webshop/default_020425059.jpg?uid=0.9614069
Zwart,Snijmes,25 cm,"€ 15,07",http://www.manhard.eu/upload/webshop/default_020425059.jpg?uid=0.9614069
Zwart,Snijmes,30 cm,"€ 18,29",http://www.manhard.eu/upload/webshop/default_020425059.jpg?uid=0.9614069
n.v.t.,Hammes,24 cm,"€ 21,64",http://www.manhard.eu/upload/webshop/default_020421033.jpg?uid=0.187237
n.v.t.,Fileermes,15 cm,"€ 19,67",http://www.manhard.eu/upload/webshop/default_020421023.jpg?uid=0.347027
n.v.t.,Officemes,10 cm,"€ 15,23",http://www.manhard.eu/upload/webshop/default_020421021.jpg?uid=0.7920343
n.v.t.,Broodmes,20 cm,"€ 20,95",http://www.manhard.eu/upload/webshop/default_020421020.jpg?uid=0.4921686
n.v.t.,Vleesmes,20 cm,"€ 20,59",http://www.manhard.eu/upload/webshop/default_020421018.jpg?uid=0.2546198
n.v.t.,Vleesmes,25 cm,"€ 24,1",http://www.manhard.eu/upload/webshop/default_020421018.jpg?uid=0.2546198
n.v.t.,Santokumes,18 cm,"€ 28,91",http://www.manhard.eu/upload/webshop/default_020421016.jpg?uid=0.2034723
n.v.t.,Groentemes,15 cm,"€ 17,96",http://www.manhard.eu/upload/webshop/default_020437031.jpg?uid=0.9659235
Zwart,Koksmes,16 cm,"€ 25,74",http://www.manhard.eu/upload/webshop/default_020420017.jpg?uid=0.2474176
Zwart,Koksmes,21 cm,"€ 30,42",http://www.manhard.eu/upload/webshop/default_020420017.jpg?uid=0.2474176
Zwart,Koksmes,23 cm,"€ 33,1",http://www.manhard.eu/upload/webshop/default_020420017.jpg?uid=0.2474176
Zwart,Koksmes,26 cm,"€ 35,68",http://www.manhard.eu/upload/webshop/default_020420017.jpg?uid=0.2474176
Zwart,Koksmes,29 cm,"€ 49,59",http://www.manhard.eu/upload/webshop/default_020420017.jpg?uid=0.2474176
n.v.t.,Fileermes,20 cm,"€ 20,75",http://www.manhard.eu/upload/webshop/default_020437023.jpg?uid=0.5472834
n.v.t.,Koksmes,20 cm,"€ 26,23",http://www.manhard.eu/upload/webshop/default_020421017.jpg?uid=0.8764459
n.v.t.,Koksmes,25 cm,"€ 30,87",http://www.manhard.eu/upload/webshop/default_020421017.jpg?uid=0.8764459
n.v.t.,Officemes,10 cm,"€ 15,55",http://www.manhard.eu/upload/webshop/default_020437021.jpg?uid=0.8881647
n.v.t.,Poontrekker,n.v.t.,"€ 36,93",http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.3566095
n.v.t.,Poontrekker,10 mm,"€ 3,04",http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.3566095
n.v.t.,Broodmes,20 cm,"€ 21,15",http://www.manhard.eu/upload/webshop/default_020437020.jpg?uid=0.8434259
Zwart,Tomaten-/kaasmes,11 cm,"€ 4,63",http://www.manhard.eu/upload/webshop/default_020426024.jpg?uid=0.8194391
Zwart,Keukenmes,10 cm,"€ 2,41",http://www.manhard.eu/upload/webshop/default_020432038.jpg?uid=0.9925348
Zwart,Keukenmes,13 cm,"€ 3,4",http://www.manhard.eu/upload/webshop/default_020432038.jpg?uid=0.9925348
Zwart,Polkmes,10 cm,"€ 3,33",http://www.manhard.eu/upload/webshop/default_020143003.jpg?uid=0.3057062
Zwart,Polkmes,10 cm,"€ 5,45",http://www.manhard.eu/upload/webshop/default_020143003.jpg?uid=0.3057062
Geel,Polkmes,10 cm,"€ 5,45",http://www.manhard.eu/upload/webshop/default_020143003.jpg?uid=0.3057062
Rood,Polkmes,10 cm,"€ 5,45",http://www.manhard.eu/upload/webshop/default_020143003.jpg?uid=0.3057062
n.v.t.,Schilmes,8 cm,"€ 12,04",http://www.manhard.eu/upload/webshop/default_020423025.jpg?uid=0.3842584
n.v.t.,Schilmes,8 cm,"€ 12,04",http://www.manhard.eu/upload/webshop/default_020423025.jpg?uid=0.3842584
Wit,Duits model,35 cm,"€ 154,01",http://www.manhard.eu/upload/webshop/default_020219078.jpg?uid=0.129925
Wit,Duits model,40 cm,"€ 166,49",http://www.manhard.eu/upload/webshop/default_020219078.jpg?uid=0.129925
Zwart,"Gebogen, semi-flex",15 cm,"€ 8,83",http://www.manhard.eu/upload/webshop/default_020801004.jpg?uid=0.248028
n.v.t.,Vleesmes,20 cm,"€ 20,75",http://www.manhard.eu/upload/webshop/default_020437018.jpg?uid=0.1351129
Zwart,Broodmes,20 cm,"€ 8,3",http://www.manhard.eu/upload/webshop/default_020426020.jpg?uid=0.5180475
n.v.t.,Diverse,9 cm,"€ 6,62",http://www.manhard.eu/upload/webshop/default_020314051.jpg?uid=0.3920709
Wit,Diverse,9 cm,"€ 7,74",http://www.manhard.eu/upload/webshop/default_020314051.jpg?uid=0.3920709
Geel,25 cm,25 cm,"€ 42,34",http://www.manhard.eu/upload/webshop/default_020239074.jpg?uid=0.5401422
Zwart,25 cm,25 cm,"€ 42,34",http://www.manhard.eu/upload/webshop/default_020239074.jpg?uid=0.5401422
Geel,23 cm,23 cm,"€ 40,45",http://www.manhard.eu/upload/webshop/default_020239073.jpg?uid=0.2013971
Zwart,23 cm,23 cm,"€ 40,45",http://www.manhard.eu/upload/webshop/default_020239073.jpg?uid=0.2013971
Wit,Hollands model,24 cm,"€ 133,04",http://www.manhard.eu/upload/webshop/default_020219079.jpg?uid=0.9662287
Wit,Hollands model,27 cm,"€ 146,57",http://www.manhard.eu/upload/webshop/default_020219079.jpg?uid=0.9662287
Wit,Hollands model,32 cm,"€ 187,23",http://www.manhard.eu/upload/webshop/default_020219079.jpg?uid=0.9662287
Zwart,Fileermes,17 cm,€ 11,http://www.manhard.eu/upload/webshop/default_020425023.jpg?uid=0.11961
Zwart,Breekmes,20 cm,"€ 8,32",http://www.manhard.eu/upload/webshop/default_020144003.jpg?uid=0.8411676
Zwart,gebogen,20 cm,"€ 7,95",http://www.manhard.eu/upload/webshop/default_020105002.jpg?uid=0.3250543
Zwart,gebogen,25 cm,"€ 10,76",http://www.manhard.eu/upload/webshop/default_020105002.jpg?uid=0.3250543
Blauw,gebogen,20 cm,"€ 7,95",http://www.manhard.eu/upload/webshop/default_020105002.jpg?uid=0.3250543
n.v.t.,Koksmes,15 cm,"€ 23,53",http://www.manhard.eu/upload/webshop/default_020437017.jpg?uid=0.1096002
n.v.t.,Koksmes,20 cm,"€ 26,1",http://www.manhard.eu/upload/webshop/default_020437017.jpg?uid=0.1096002
n.v.t.,Koksmes,25 cm,"€ 29,2",http://www.manhard.eu/upload/webshop/default_020437017.jpg?uid=0.1096002
n.v.t.,Koffer,n.v.t.,"€ 273,31",http://www.manhard.eu/upload/webshop/default_020420047.jpg?uid=0.9080011
Geel,Smal flexibel,13 cm,"€ 6,68",http://www.manhard.eu/upload/webshop/default_020106062.jpg?uid=4.380435E-02
Blauw,Smal flexibel,13 cm,"€ 6,68",http://www.manhard.eu/upload/webshop/default_020106062.jpg?uid=4.380435E-02
n.v.t.,Santokumes,18 cm,"€ 26,32",http://www.manhard.eu/upload/webshop/default_020437016.jpg?uid=0.1028864
Blauw,Flexibel,18 cm,"€ 8,68",http://www.manhard.eu/upload/webshop/default_020106009.jpg?uid=0.9500543
Zwart,met kuiltjes,20 cm,"€ 12,01",http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=0.400921
Blauw,met kuiltjes,20 cm,"€ 12,01",http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=0.400921
Blauw,met kuiltjes,25 cm,"€ 14,52",http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=0.400921
Blauw,Kabeljauw,17 cm,"€ 8,96",http://www.manhard.eu/upload/webshop/default_020306006.jpg?uid=0.1244928
Blauw,Kabeljauw,17 cm,"€ 8,96",http://www.manhard.eu/upload/webshop/default_020306006.jpg?uid=0.1244928
Zwart,Haring,6 cm,"€ 3,93",http://www.manhard.eu/upload/webshop/default_020306007.jpg?uid=0.8216974
Zwart,Voorsnijmes,16 cm,"€ 9,52",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Zwart,Voorsnijmes,20 cm,"€ 11,2",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Zwart,Voorsnijmes,26 cm,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Geel,Voorsnijmes,16 cm,"€ 9,52",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Geel,Voorsnijmes,20 cm,"€ 11,2",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Geel,Voorsnijmes,26 cm,"€ 14,57",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
Blauw,Voorsnijmes,24 cm,"€ 12,8",http://www.manhard.eu/upload/webshop/default_020103066.jpg?uid=0.6621515
