Image Link,Title,Description,Main Category,Sub Category 1,Sub Category 2,color,Measure,price
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,16 cm,"€ 11,81"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,18 cm,"€ 13,94"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,20 cm,"€ 14,17"
http://www.manhard.eu/upload/webshop/default_020507009.jpg?uid=0.7967798,Flexibel,"VICTORINOX vliesmes, smal, flexibel",Messen,VICTORINOX messen,Vliesmes,Zwart,20 cm,"€ 14,7"
http://www.manhard.eu/upload/webshop/default_020510033.jpg?uid=0.9033319,Hammes,VICTORINOX hammes,Messen,VICTORINOX messen,Hammes,Zwart,30 cm,"€ 22,58"
http://www.manhard.eu/upload/webshop/default_020824019.jpg?uid=0.6189844,Uitbeenmes,"GIESSER PrimeLine uitbeenmes, smal, gebogen, semi-flexibel",Messen,GIESSER messen,PrimeLine,Zwart,13 cm,"€ 9,2"
http://www.manhard.eu/upload/webshop/default_nl.jpg?uid=0.3963892,Zwoerdmes,"GIESSER zwoerdmes voor insnijden van zwoerd, 3-voudig",Messen,GIESSER messen,Diverse,Zwart,n.v.t.,"€ 9,07"
http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.6906397,Uitbeenmes smal,"DICK uitbeenmes, Mastergrip, smal",Messen,DICK messen,MasterGrip,Oranje,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020733068.jpg?uid=0.6906397,Uitbeenmes smal,"DICK uitbeenmes, Mastergrip, smal",Messen,DICK messen,MasterGrip,Oranje,15 cm,"€ 9,35"
http://www.manhard.eu/upload/webshop/default_020739002.jpg?uid=0.1385767,Dolkmes,"DICK dolkmes, Ergogrip",Messen,DICK messen,Diverse messen,Blauw,21 cm,"€ 27,88"
http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.8785059,Huidmes,VICTORINOX huidmes,Messen,VICTORINOX messen,Huidmes,Zwart,15 cm,"€ 14,99"
http://www.manhard.eu/upload/webshop/default_020509065.jpg?uid=0.8785059,Huidmes,VICTORINOX huidmes,Messen,VICTORINOX messen,Huidmes,Zwart,18 cm,"€ 17,54"
http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.8291742,Poontrekker,MANHARD RVS poontrekker,Messen,ICEL vismessen,Diverse,n.v.t.,n.v.t.,"€ 36,93"
http://www.manhard.eu/upload/webshop/default_020316067.jpg?uid=0.8291742,Poontrekker,MANHARD mesje voor poontrekker,Messen,ICEL vismessen,Diverse,n.v.t.,10 mm,"€ 3,04"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Zwart,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Groen,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020837004.jpg?uid=0.8321039,Polkmes,GIESSER polkmes,Messen,GIESSER messen,Diverse messen,Geel,10 cm,"€ 6,75"
http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.2805292,Steekmes,GIESSER steekmes met veiligheidsgreep Nr. 2,Messen,GIESSER messen,Veiligheidsgreep Nr. 2,Zwart,18 cm,"€ 11,19"
http://www.manhard.eu/upload/webshop/default_020838001.jpg?uid=0.2805292,Steekmes,GIESSER steekmes met veiligheidsgreep Nr. 2,Messen,GIESSER messen,Veiligheidsgreep Nr. 2,Zwart,21 cm,"€ 12,71"
http://www.manhard.eu/upload/webshop/default_020702053.jpg?uid=0.971081,breed,"DICK steekmes, Ergogrip, breed",Messen,DICK messen,Steekmes,Blauw,18 cm,"€ 11,9"
http://www.manhard.eu/upload/webshop/default_020733067.jpg?uid=0.3649408,Uitbeenmes smal flex.,"DICK uitbeenmes, Mastergrip, smal, gebogen, flexibel",Messen,DICK messen,MasterGrip,Oranje,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020505055.jpg?uid=0.9074213,"breed, gebogen","VICTORINOX breekmes, breed, gebogen",Messen,VICTORINOX messen,Breekmes,Zwart,20 cm,"€ 16,81"
http://www.manhard.eu/upload/webshop/default_020505055.jpg?uid=0.9074213,"breed, gebogen","VICTORINOX breekmes, breed, gebogen",Messen,VICTORINOX messen,Breekmes,Zwart,25 cm,"€ 18,71"
http://www.manhard.eu/upload/webshop/default_020144004.jpg?uid=0.2910272,Huidmes,"ICEL/PROFLEX Microban® huidmes, PROTEC veiligheidsgreep",Messen,ICEL/PROFLEX vleesmessen,ICEL/PROTEC vleesmessen,Zwart,18 cm,"€ 11,57"
http://www.manhard.eu/upload/webshop/default_020435031.jpg?uid=0.1216547,Groentemes,"MANHARD groentemes, keramiek",Messen,MANHARD/ICEL horeca,Keramiek,n.v.t.,12 cm,"€ 49,08"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL shoarmames HG,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,36 cm,"€ 21,62"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL shoarmames HG,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,40 cm,"€ 24,13"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL shoarmames,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,36 cm,"€ 21,94"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL shoarmames (340144),Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,Zwart,44 cm,"€ 17,08"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL souflakymes HG,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,36 cm,"€ 21,62"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL souflakymes HG,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,40 cm,"€ 11,72"
http://www.manhard.eu/upload/webshop/default_020434065.jpg?uid=0.9856226,Shoarma-/Souflakymes ,ICEL souflakymes HG,Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,44 cm,"€ 12,9"
http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=4.714602E-02,met kuiltjes,ICEL/PROFLEX Microban® breekmes met kuiltjes,Messen,ICEL/PROFLEX vleesmessen,Breekmes,Zwart,20 cm,"€ 12,01"
http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=4.714602E-02,met kuiltjes,ICEL/PROFLEX Microban® breekmes met kuiltjes,Messen,ICEL/PROFLEX vleesmessen,Breekmes,Blauw,20 cm,"€ 12,01"
http://www.manhard.eu/upload/webshop/default_020105076.jpg?uid=4.714602E-02,met kuiltjes,ICEL/PROFLEX Microban® breekmes met kuiltjes,Messen,ICEL/PROFLEX vleesmessen,Breekmes,Blauw,25 cm,"€ 14,52"
http://www.manhard.eu/upload/webshop/default_020432058.jpg?uid=7.716006E-02,Polkmes,ICEL PORTO polkmes,Messen,MANHARD/ICEL horeca,Porto,Zwart,12 cm,"€ 3,78"
http://www.manhard.eu/upload/webshop/default_020432038.jpg?uid=0.9488031,Keukenmes,"ICEL PORTO keukenmes, getand",Messen,MANHARD/ICEL horeca,Porto,Zwart,10 cm,"€ 2,41"
http://www.manhard.eu/upload/webshop/default_020432038.jpg?uid=0.9488031,Keukenmes,"ICEL PORTO keukenmes, getand",Messen,MANHARD/ICEL horeca,Porto,Zwart,13 cm,"€ 3,4"
http://www.manhard.eu/upload/webshop/default_020143004.jpg?uid=0.8441278,Steekdolk,"ICEL/PROFLEX Microban® steekdolk, 2-zijdig geslepen",Messen,ICEL/PROFLEX vleesmessen,Diverse messen,Zwart,16 cm,"€ 18,68"
http://www.manhard.eu/upload/webshop/default_020701054.jpg?uid=0.6747553,Smal,"DICK uitbeenmes, Ergogrip, smal",Messen,DICK messen,Uitbeenmes,Geel,15 cm,"€ 9,35"
http://www.manhard.eu/upload/webshop/default_020701053.jpg?uid=0.7722284,breed,"DICK uitbeenmes, Ergogrip, breed",Messen,DICK messen,Uitbeenmes,Blauw,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020701053.jpg?uid=0.7722284,breed,"DICK uitbeenmes, Ergogrip, breed",Messen,DICK messen,Uitbeenmes,Blauw,15 cm,"€ 9,35"
http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.5098993,Smal geb. flexibel,"DICK uitbeenmes, Ergogrip, smal, gebogen, flexibel",Messen,DICK messen,Uitbeenmes,Blauw,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.5098993,Smal geb. flexibel,"DICK uitbeenmes, Ergogrip, smal, gebogen, flexibel",Messen,DICK messen,Uitbeenmes,Rood,13 cm,"€ 8,36"
http://www.manhard.eu/upload/webshop/default_020701077.jpg?uid=0.5098993,Smal geb. flexibel,"DICK uitbeenmes, Ergogrip, smal, gebogen, flexibel",Messen,DICK messen,Uitbeenmes,Blauw,15 cm,"€ 9,35"
http://www.manhard.eu/upload/webshop/default_020106009.jpg?uid=0.1059076,Flexibel,"ICEL/PROFLEX Microban® fileermes, breed, flexibel",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Blauw,18 cm,"€ 8,68"
http://www.manhard.eu/upload/webshop/default_020431042.jpg?uid=0.8888666,Steakvork,"ICEL LISSABON vork, 4-tands",Messen,MANHARD/ICEL horeca,Lissabon,Zwart,19 cm,"€ 3,35"
http://www.manhard.eu/upload/webshop/default_020822052.jpg?uid=0.1162836,Steekmes,GIESSER BodyGuard steekmes,Messen,GIESSER messen,BodyGuard,Zwart,16 cm,"€ 10,14"
http://www.manhard.eu/upload/webshop/default_020431046.jpg?uid=0.9168207,Soeplepel,ICEL LISSABON soeplepel,Messen,MANHARD/ICEL horeca,Lissabon,Zwart,19 cm,"€ 3,71"
http://www.manhard.eu/upload/webshop/default_020805055.jpg?uid=0.358349,"breed, gebogen","GIESSER breekmes, breed, gebogen",Messen,GIESSER messen,Breekmes,Geel,20 cm,"€ 13,28"
http://www.manhard.eu/upload/webshop/default_020431021.jpg?uid=0.2358515,Officemes,ICEL LISSABON officemes,Messen,MANHARD/ICEL horeca,Lissabon,Zwart,8 cm,"€ 1,88"
http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.1443598,Linkshandig getand,"ICEL shoarmames, getand, LINKSHANDIG",Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,36 cm,"€ 26,3"
http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.1443598,Linkshandig getand,"ICEL shoarmames, getand, LINKSHANDIG HG",Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,36 cm,"€ 24,52"
http://www.manhard.eu/upload/webshop/default_020434029.jpg?uid=0.1443598,Linkshandig getand,"ICEL shoarmames, getand, LINKSHANDIG HG",Messen,MANHARD/ICEL horeca,Shoarma-/Souflakymes ,n.v.t.,40 cm,"€ 13,43"
http://www.manhard.eu/upload/webshop/default_020435017.jpg?uid=0.9523432,Koksmes,"MANHARD koksmes, keramiek",Messen,MANHARD/ICEL horeca,Keramiek,n.v.t.,17 cm,"€ 79,41"
http://www.manhard.eu/upload/webshop/default_020106054.jpg?uid=0.1297113,Smal,"ICEL/PROFLEX Microban® fileermes, extra smal",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Zwart,13 cm,"€ 6,68"
http://www.manhard.eu/upload/webshop/default_020106054.jpg?uid=0.1297113,Smal,"ICEL/PROFLEX fileermes, extra smal",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Zwart,15 cm,"€ 6,86"
http://www.manhard.eu/upload/webshop/default_020106054.jpg?uid=0.1297113,Smal,"ICEL/PROFLEX fileermes, extra smal",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Geel,13 cm,"€ 6,68"
http://www.manhard.eu/upload/webshop/default_020106054.jpg?uid=0.1297113,Smal,"ICEL/PROFLEX fileermes, extra smal",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Geel,15 cm,"€ 6,86"
http://www.manhard.eu/upload/webshop/default_020106054.jpg?uid=0.1297113,Smal,"ICEL/PROFLEX fileermes, extra smal",Messen,ICEL/PROFLEX vleesmessen,Fileermes,Blauw,13 cm,"€ 6,68"
http://www.manhard.eu/upload/webshop/default_020432020.jpg?uid=5.321681E-03,Broodmes,ICEL PORTO broodmes,Messen,MANHARD/ICEL horeca,Porto,Zwart,20 cm,"€ 5,81"
http://www.manhard.eu/upload/webshop/default_020432020.jpg?uid=5.321681E-03,Broodmes,ICEL PORTO broodmes,Messen,MANHARD/ICEL horeca,Porto,Zwart,25 cm,"€ 10,64"
http://www.manhard.eu/upload/webshop/default_020316082.jpg?uid=0.5565912,Steekdolk,MANHARD zeemansdolk,Messen,ICEL vismessen,Diverse,n.v.t.,15 cm,"€ 10,58"
http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.2260858,Snijmes,"ICEL HRC PRIME LINE Microban® snijmes, ongetand",Messen,MANHARD/ICEL horeca,HRC Prime Line,Zwart,25 cm,"€ 11,88"
http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.2260858,Snijmes,"ICEL HRC PRIME LINE Microban® snijmes, ongetand",Messen,MANHARD/ICEL horeca,HRC Prime Line,Zwart,30 cm,"€ 13,54"
http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.2260858,Snijmes,"ICEL HRC PRIME LINE Microban® snijmes, ongetand",Messen,MANHARD/ICEL horeca,HRC Prime Line,Zwart,36 cm,"€ 14,76"
http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.2260858,Snijmes,"ICEL HRC PRIME LINE Microban® snijmes, getand",Messen,MANHARD/ICEL horeca,HRC Prime Line,Zwart,25 cm,"€ 12,98"
http://www.manhard.eu/upload/webshop/default_020429059.jpg?uid=0.2260858,Snijmes,"ICEL HRC PRIME LINE Microban® snijmes, getand, RECHTSHANDIG",Messen,MANHARD/ICEL horeca,HRC Prime Line,Zwart,40 cm,"€ 18,04"
http://www.manhard.eu/upload/webshop/default_020435021.jpg?uid=0.4716303,Officemes,"MANHARD officemes, keramiek",Messen,MANHARD/ICEL horeca,Keramiek,n.v.t.,9 cm,"€ 32,7"
http://www.manhard.eu/upload/webshop/default_020426039.jpg?uid=0.9864008,Steakmes,ICEL CLASSICA steakmes,Messen,MANHARD/ICEL horeca,Classica,Zwart,12 cm,"€ 4,54"
http://www.manhard.eu/upload/webshop/default_020428044.jpg?uid=0.4460565,Tomatenmes,ICEL ESTORIL tomatenmes,Messen,MANHARD/ICEL horeca,Estoril,Zwart,11 cm,"€ 2,32"
http://www.manhard.eu/upload/webshop/default_020425065.jpg?uid=0.9256708,Messenkoffer,"Kunststof messenkoffer TECHNIEK Starter Case, 8-delig",Messen,MANHARD/ICEL horeca,Techniek,n.v.t.,n.v.t.,"€ 92,82"
http://www.manhard.eu/upload/webshop/default_020425065.jpg?uid=0.9256708,Messenkoffer,"Aluminium messenkoffer TECHNIEK Chef Case, 15-delig",Messen,MANHARD/ICEL horeca,Techniek,n.v.t.,n.v.t.,"€ 215,07"
http://www.manhard.eu/upload/webshop/default_020425065.jpg?uid=0.9256708,Messenkoffer,"ICEL TECHNIEK messenkoffer SAMSONITE, 15-delig",Messen,MANHARD/ICEL horeca,Techniek,n.v.t.,n.v.t.,"€ 310,03"
http://www.manhard.eu/upload/webshop/default_020423065.jpg?uid=0.5680048,Messenkoffer,"ICEL ABSOLUTE STEEL aluminium messenkoffer, 11-delig",Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,n.v.t.,"€ 395,12"
http://www.manhard.eu/upload/webshop/default_020423048.jpg?uid=0.7131464,Messenblok,"ICEL ABSOLUTE STEEL messenblok met RVS front, hout, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,n.v.t.,"€ 213,34"
http://www.manhard.eu/upload/webshop/default_020423048.jpg?uid=0.7131464,Messenblok,"ICEL ABSOLUTE STEEL messenblok, hout, 5-delig (GV)",Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,n.v.t.,"€ 132,05"
http://www.manhard.eu/upload/webshop/default_020423048.jpg?uid=0.7131464,Messenblok,"ICEL ABSOLUTE STEEL messenblok met RVS standaard, hout, vierhoekig, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,n.v.t.,"€ 181,64"
http://www.manhard.eu/upload/webshop/default_020423048.jpg?uid=0.7131464,Messenblok,"ICEL ABSOLUTE STEEL messenblok met RVS standaard, hout, vierhoekig, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Absolute steel,Zwart,n.v.t.,"€ 181,64"
http://www.manhard.eu/upload/webshop/default_020421050.jpg?uid=0.7424433,Keukenset,"ICEL PLATINA keuken set in geschenkverpakking, 3-delig",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,n.v.t.,"€ 82,66"
http://www.manhard.eu/upload/webshop/default_020421048.jpg?uid=0.8943598,Messenblok,"ICEL PLATINA messenblok met RVS front, hout, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,n.v.t.,"€ 219,24"
http://www.manhard.eu/upload/webshop/default_020421048.jpg?uid=0.8943598,Messenblok,"ICEL PLATINA messenblok met RVS standaard, hout, vierkant, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,11 x 11 cm,"€ 213,95"
http://www.manhard.eu/upload/webshop/default_020421048.jpg?uid=0.8943598,Messenblok,"ICEL PLATINA messenblok met RVS standaard, hout, rechthoekig, 7-delig (GV)",Messen,MANHARD/ICEL horeca,Platina messen,Zwart,19 x 7 cm,"€ 201,62"
http://www.manhard.eu/upload/webshop/default_020421048.jpg?uid=0.8943598,Messenblok,"ICEL PLATINA messenblok, hout, 5-delig (GV)",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,n.v.t.,"€ 148,21"
http://www.manhard.eu/upload/webshop/default_020511065.jpg?uid=0.6237909,Polkmes,VICTORINOX polkmes,Messen,VICTORINOX messen,Polkmes,Zwart,10 cm,"€ 10,72"
http://www.manhard.eu/upload/webshop/default_020511065.jpg?uid=0.6237909,Polkmes,VICTORINOX polkmes,Messen,VICTORINOX messen,Polkmes,Geel,10 cm,€ 11
http://www.manhard.eu/upload/webshop/default_020421034.jpg?uid=0.3063471,Aanzetstaal,"ICEL PLATINA aanzetstaal, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,23 cm,"€ 29,11"
http://www.manhard.eu/upload/webshop/default_020144003.jpg?uid=0.4661371,Breekmes,"ICEL/PROFLEX Microban® breekmes, gebogen, PROTEC veiligheidsgreep",Messen,ICEL/PROFLEX vleesmessen,ICEL/PROTEC vleesmessen,Zwart,20 cm,"€ 8,32"
http://www.manhard.eu/upload/webshop/default_020421031.jpg?uid=0.7894403,Groentemes,"ICEL PLATINA groentemes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,15 cm,"€ 19,67"
http://www.manhard.eu/upload/webshop/default_020421022.jpg?uid=0.755871,Vleesvork,"ICEL PLATINA vleesvork, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,16 cm,"€ 19,89"
http://www.manhard.eu/upload/webshop/default_020421023.jpg?uid=0.2778437,Fileermes,"ICEL PLATINA fileermes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,15 cm,"€ 19,67"
http://www.manhard.eu/upload/webshop/default_020421020.jpg?uid=0.9926264,Broodmes,"ICEL PLATINA broodmes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,20 cm,"€ 20,95"
http://www.manhard.eu/upload/webshop/default_020421021.jpg?uid=0.2024652,Officemes,"ICEL PLATINA officemes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,10 cm,"€ 15,23"
http://www.manhard.eu/upload/webshop/default_020421018.jpg?uid=0.5843622,Vleesmes,"ICEL PLATINA vleesmes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,20 cm,"€ 20,59"
http://www.manhard.eu/upload/webshop/default_020421018.jpg?uid=0.5843622,Vleesmes,"ICEL PLATINA vleesmes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,25 cm,"€ 24,1"
http://www.manhard.eu/upload/webshop/default_020432025.jpg?uid=0.3726313,Schilmes,"ICEL PORTO schilmes, recht",Messen,MANHARD/ICEL horeca,Porto,Zwart,8 cm,"€ 1,71"
http://www.manhard.eu/upload/webshop/default_020805066.jpg?uid=0.9774286,met kuiltjes,GIESSER breekmes met kuiltjes,Messen,GIESSER messen,Breekmes,Zwart,20 cm,"€ 15,85"
http://www.manhard.eu/upload/webshop/default_020421033.jpg?uid=0.5705072,Hammes,"ICEL PLATINA hammes, gesmeed",Messen,MANHARD/ICEL horeca,Platina messen,n.v.t.,24 cm,"€ 21,64"
http://www.manhard.eu/upload/webshop/default_020423035.jpg?uid=0.7473261,Kaasmes,ICEL ABSOLUTE STEEL kaasmes,Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,12 cm,"€ 15,43"
http://www.manhard.eu/upload/webshop/default_020423035.jpg?uid=0.7473261,Kaasmes,ICEL ABSOLUTE STEEL kaasmes (GV),Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,12 cm,"€ 15,43"
http://www.manhard.eu/upload/webshop/default_020423034.jpg?uid=0.3273432,Aanzetstaal,"ICEL ABSOLUTE STEEL aanzetstaal, rond",Messen,MANHARD/ICEL horeca,Absolute steel,n.v.t.,23 cm,"€ 29,11"
